Date,city,state_id,state_name,county_fips,county_name,Summary,Precip Type,Temperature,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-04-01 13:00:00.000 +0200,San Francisco,CA,California,6075,San Francisco,Partly Cloudy,rain,17.33333333,17.33333333,0.51,20.6885,289,11.27,0,1017.48,Partly cloudy throughout the day.
2006-04-01 14:00:00.000 +0200,San Diego,CA,California,6073,San Diego,Partly Cloudy,rain,18.87777778,18.87777778,0.47,15.3755,262,11.4471,0,1017.17,Partly cloudy throughout the day.
2006-04-01 15:00:00.000 +0200,Minneapolis,MN,Minnesota,27053,Hennepin,Partly Cloudy,rain,18.91111111,18.91111111,0.46,10.4006,288,11.27,0,1016.47,Partly cloudy throughout the day.
2006-04-01 16:00:00.000 +0200,Brooklyn,NY,New York,36047,Kings,Partly Cloudy,rain,15.38888889,15.38888889,0.6,14.4095,251,11.27,0,1016.15,Partly cloudy throughout the day.
2006-04-01 17:00:00.000 +0200,Tampa,FL,Florida,12057,Hillsborough,Mostly Cloudy,rain,15.55,15.55,0.63,11.1573,230,11.4471,0,1016.17,Partly cloudy throughout the day.
2006-04-01 18:00:00.000 +0200,Denver,CO,Colorado,8031,Denver,Mostly Cloudy,rain,14.25555556,14.25555556,0.69,8.5169,163,11.2056,0,1015.82,Partly cloudy throughout the day.
2006-04-01 19:00:00.000 +0200,Queens,NY,New York,36081,Queens,Mostly Cloudy,rain,13.14444444,13.14444444,0.7,7.6314,139,11.2056,0,1015.83,Partly cloudy throughout the day.
2006-04-01 20:00:00.000 +0200,Baltimore,MD,Maryland,24510,Baltimore,Mostly Cloudy,rain,11.55,11.55,0.77,7.3899,147,11.0285,0,1015.85,Partly cloudy throughout the day.
2006-04-01 21:00:00.000 +0200,Las Vegas,NV,Nevada,32003,Clark,Mostly Cloudy,rain,11.18333333,11.18333333,0.76,4.9266,160,9.982,0,1015.77,Partly cloudy throughout the day.
2006-04-01 22:00:00.000 +0200,St. Louis,MO,Missouri,29510,St. Louis,Partly Cloudy,rain,10.11666667,10.11666667,0.79,6.6493,163,15.8263,0,1015.4,Partly cloudy throughout the day.
2006-04-01 23:00:00.000 +0200,Portland,OR,Oregon,41051,Multnomah,Mostly Cloudy,rain,10.2,10.2,0.77,3.9284,152,14.9569,0,1015.51,Partly cloudy throughout the day.
2006-04-10 00:00:00.000 +0200,Riverside,CA,California,6065,Riverside,Partly Cloudy,rain,10.42222222,10.42222222,0.62,16.9855,150,15.8263,0,1014.4,Mostly cloudy throughout the day.
2006-04-10 01:00:00.000 +0200,Orlando,FL,Florida,12095,Orange,Partly Cloudy,rain,9.911111111,7.566666667,0.66,17.2109,149,15.8263,0,1014.2,Mostly cloudy throughout the day.
2006-04-10 02:00:00.000 +0200,Sacramento,CA,California,6067,Sacramento,Mostly Cloudy,rain,11.18333333,11.18333333,0.8,10.8192,163,14.9569,0,1008.71,Mostly cloudy throughout the day.
2006-04-10 03:00:00.000 +0200,San Juan,PR,Puerto Rico,72127,San Juan,Partly Cloudy,rain,7.155555556,5.044444444,0.79,11.0768,180,15.8263,0,1014.47,Mostly cloudy throughout the day.
2006-04-10 04:00:00.000 +0200,San Antonio,TX,Texas,48029,Bexar,Partly Cloudy,rain,6.111111111,4.816666667,0.82,6.6493,161,15.8263,0,1014.45,Mostly cloudy throughout the day.
2006-04-10 05:00:00.000 +0200,San Jose,CA,California,6085,Santa Clara,Partly Cloudy,rain,6.788888889,4.272222222,0.83,13.0088,135,14.9569,0,1014.49,Mostly cloudy throughout the day.
2006-04-10 06:00:00.000 +0200,Pittsburgh,PA,Pennsylvania,42003,Allegheny,Mostly Cloudy,rain,7.261111111,5.155555556,0.85,11.1734,141,6.1985,0,1014.52,Mostly cloudy throughout the day.
2006-04-10 07:00:00.000 +0200,Cincinnati,OH,Ohio,39061,Hamilton,Mostly Cloudy,rain,7.8,5.527777778,0.83,12.8156,150,8.05,0,1014.16,Mostly cloudy throughout the day.
2006-04-10 08:00:00.000 +0200,Manhattan,NY,New York,36061,New York,Mostly Cloudy,rain,9.872222222,7.933333333,0.78,13.7494,160,9.982,0,1014.24,Mostly cloudy throughout the day.
2006-04-10 09:00:00.000 +0200,Cleveland,OH,Ohio,39035,Cuyahoga,Mostly Cloudy,rain,12.22222222,12.22222222,0.72,15.6331,150,9.982,0,1014.25,Mostly cloudy throughout the day.
2006-04-10 10:00:00.000 +0200,Indianapolis,IN,Indiana,18097,Marion,Mostly Cloudy,rain,15.09444444,15.09444444,0.61,17.549,151,9.982,0,1013.96,Mostly cloudy throughout the day.
2006-04-10 11:00:00.000 +0200,Austin,TX,Texas,48453,Travis,Mostly Cloudy,rain,17.35555556,17.35555556,0.52,22.7815,169,9.982,0,1013.85,Mostly cloudy throughout the day.
2006-04-10 12:00:00.000 +0200,Kansas City,MO,Missouri,29095,Jackson,Mostly Cloudy,rain,19.00555556,19.00555556,0.46,23.8924,169,9.982,0,1013.04,Mostly cloudy throughout the day.
2006-04-10 13:00:00.000 +0200,Columbus,OH,Ohio,39049,Franklin,Mostly Cloudy,rain,20.04444444,20.04444444,0.4,28.3682,170,9.982,0,1012.22,Mostly cloudy throughout the day.
2006-04-10 14:00:00.000 +0200,Charlotte,NC,North Carolina,37119,Mecklenburg,Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,187,10.3523,0,1011.44,Mostly cloudy throughout the day.
2006-04-10 15:00:00.000 +0200,Virginia Beach,VA,Virginia,51810,Virginia Beach,Mostly Cloudy,rain,21.18333333,21.18333333,0.37,25.6956,179,9.982,0,1010.52,Mostly cloudy throughout the day.
2006-04-10 16:00:00.000 +0200,Bronx,NY,New York,36005,Bronx,Mostly Cloudy,rain,20.11666667,20.11666667,0.4,25.3092,162,9.982,0,1009.83,Mostly cloudy throughout the day.
2006-04-10 17:00:00.000 +0200,Milwaukee,WI,Wisconsin,55079,Milwaukee,Mostly Cloudy,rain,20.21666667,20.21666667,0.36,18.1125,161,10.3523,0,1009.26,Mostly cloudy throughout the day.
2006-04-10 18:00:00.000 +0200,Providence,RI,Rhode Island,44007,Providence,Mostly Cloudy,rain,20,20,0.43,23.4255,160,9.982,0,1008.76,Mostly cloudy throughout the day.
2006-04-10 19:00:00.000 +0200,Jacksonville,FL,Florida,12031,Duval,Mostly Cloudy,rain,17.8,17.8,0.5,20.0445,150,11.2056,0,1008.36,Mostly cloudy throughout the day.
2006-04-10 20:00:00.000 +0200,Salt Lake City,UT,Utah,49035,Salt Lake,Mostly Cloudy,rain,16.06111111,16.06111111,0.53,21.3969,149,9.982,0,1008.11,Mostly cloudy throughout the day.
2006-04-10 21:00:00.000 +0200,Nashville,TN,Tennessee,47037,Davidson,Mostly Cloudy,rain,15.02222222,15.02222222,0.55,21.3808,159,9.982,0,1008.15,Mostly cloudy throughout the day.
2006-04-10 22:00:00.000 +0200,Raleigh,NC,North Carolina,37183,Wake,Overcast,rain,14.42222222,14.42222222,0.58,20.0123,159,15.8263,0,1007.85,Mostly cloudy throughout the day.
2006-04-10 23:00:00.000 +0200,Memphis,TN,Tennessee,47157,Shelby,Overcast,rain,14.25555556,14.25555556,0.59,16.5025,168,14.9569,0,1007.89,Mostly cloudy throughout the day.
2006-04-11 00:00:00.000 +0200,Louisville,KY,Kentucky,21111,Jefferson,Overcast,rain,13.77222222,13.77222222,0.6,17.0982,160,15.8263,0,1007.36,Foggy in the evening.
2006-04-11 01:00:00.000 +0200,Richmond,VA,Virginia,51760,Richmond,Overcast,rain,13.28333333,13.28333333,0.63,14.3612,160,15.8263,0,1007.26,Foggy in the evening.
2006-04-11 02:00:00.000 +0200,Buffalo,NY,New York,36029,Erie,Overcast,rain,8.633333333,5.466666667,0.87,22.0409,32,6.6976,0,1005.1,Foggy in the evening.
2006-04-11 03:00:00.000 +0200,Oklahoma City,OK,Oklahoma,40109,Oklahoma,Overcast,rain,11.25,11.25,0.83,11.3344,152,15.8263,0,1007.01,Foggy in the evening.
2006-04-11 04:00:00.000 +0200,Bridgeport,CT,Connecticut,9001,Fairfield,Overcast,rain,11.18333333,11.18333333,0.89,11.2056,180,9.9015,0,1006.73,Foggy in the evening.
2006-04-11 05:00:00.000 +0200,New Orleans,LA,Louisiana,22071,Orleans,Overcast,rain,10.69444444,10.69444444,0.95,10.4006,161,6.6976,0,1006.59,Foggy in the evening.
2006-04-11 06:00:00.000 +0200,Fort Worth,TX,Texas,48439,Tarrant,Mostly Cloudy,rain,11.11111111,11.11111111,0.93,12.0106,140,5.9731,0,1006.34,Foggy in the evening.
2006-04-11 07:00:00.000 +0200,Hartford,CT,Connecticut,9003,Hartford,Mostly Cloudy,rain,11.11111111,11.11111111,0.93,9.2092,103,10.8031,0,1006.09,Foggy in the evening.
2006-04-11 08:00:00.000 +0200,Tucson,AZ,Arizona,4019,Pima,Partly Cloudy,rain,12.16666667,12.16666667,0.82,9.9015,113,10.6743,0,1005.97,Foggy in the evening.
2006-04-11 09:00:00.000 +0200,Honolulu,HI,Hawaii,15003,Honolulu,Partly Cloudy,rain,12.75555556,12.75555556,0.79,13.8299,129,10.8192,0,1005.63,Foggy in the evening.
2006-04-11 10:00:00.000 +0200,McAllen,TX,Texas,48215,Hidalgo,Partly Cloudy,rain,13.83888889,13.83888889,0.84,9.0965,159,10.8192,0,1005.83,Foggy in the evening.
2006-04-11 11:00:00.000 +0200,Omaha,NE,Nebraska,31055,Douglas,Partly Cloudy,rain,16.18333333,16.18333333,0.73,0.644,207,10.7548,0,1005.97,Foggy in the evening.
2006-04-11 12:00:00.000 +0200,El Paso,TX,Texas,48141,El Paso,Mostly Cloudy,rain,17.51666667,17.51666667,0.67,0.6762,153,10.8997,0,1005.64,Foggy in the evening.
2006-04-11 13:00:00.000 +0200,Albuquerque,NM,New Mexico,35001,Bernalillo,Mostly Cloudy,rain,17.38333333,17.38333333,0.67,3.864,4,10.8514,0,1005.2,Foggy in the evening.
2006-04-11 14:00:00.000 +0200,Rochester,NY,New York,36055,Monroe,Mostly Cloudy,rain,17.36111111,17.36111111,0.71,7.8246,341,11.0768,0,1005.1,Foggy in the evening.
2006-04-11 15:00:00.000 +0200,Sarasota,FL,Florida,12115,Sarasota,Mostly Cloudy,rain,17.20555556,17.20555556,0.74,15.5848,15,10.8514,0,1004.65,Foggy in the evening.
2006-04-11 16:00:00.000 +0200,Fresno,CA,California,6019,Fresno,Mostly Cloudy,rain,15.63333333,15.63333333,0.81,23.6992,348,10.8836,0,1004.04,Foggy in the evening.
2006-04-11 17:00:00.000 +0200,Tulsa,OK,Oklahoma,40143,Tulsa,Overcast,rain,13.57777778,13.57777778,0.9,20.9622,321,7.6153,0,1004.08,Foggy in the evening.
2006-04-11 18:00:00.000 +0200,Allentown,PA,Pennsylvania,42077,Lehigh,Foggy,rain,10.91111111,10.91111111,0.86,22.3951,311,2.6565,0,1004.61,Foggy in the evening.
2006-04-11 19:00:00.000 +0200,Dayton,OH,Ohio,39113,Montgomery,Foggy,rain,8.8,5.294444444,0.99,26.5006,339,2.6565,0,1004.99,Foggy in the evening.
2006-04-11 20:00:00.000 +0200,Birmingham,AL,Alabama,1073,Jefferson,Overcast,rain,8.961111111,5.777777778,0.93,23.2162,340,3.8157,0,1004.85,Foggy in the evening.
2006-04-11 21:00:00.000 +0200,Charleston,SC,South Carolina,45019,Charleston,Overcast,rain,8.2,4.605555556,0.96,25.4219,330,4.4919,0,1004.96,Foggy in the evening.
2006-04-11 22:00:00.000 +0200,Cape Coral,FL,Florida,12071,Lee,Overcast,rain,7.688888889,3.722222222,0.96,28.1267,339,4.4436,0,1005.14,Foggy in the evening.
2006-04-11 23:00:00.000 +0200,Columbia,SC,South Carolina,45079,Richland,Overcast,rain,7.766666667,4.65,0.96,19.2878,339,5.6833,0,1005.05,Foggy in the evening.
2006-04-12 00:00:00.000 +0200,Concord,CA,California,6013,Contra Costa,Foggy,rain,8.2,5.072222222,0.96,20.447,341,3.1073,0,1004.8,Foggy overnight and breezy in the morning.
2006-04-12 01:00:00.000 +0200,Colorado Springs,CO,Colorado,8041,El Paso,Foggy,rain,8.177777778,4.372222222,0.93,27.8691,19,3.2039,0,1004.89,Foggy overnight and breezy in the morning.
2006-04-12 02:00:00.000 +0200,Springfield,MA,Massachusetts,25013,Hampden,Mostly Cloudy,rain,7.311111111,6.183333333,0.82,6.7459,277,14.0553,0,1007,Foggy overnight and breezy in the morning.
2006-04-12 03:00:00.000 +0200,Knoxville,TN,Tennessee,47093,Knox,Overcast,rain,7.644444444,5.038888889,0.93,14.9086,9,6.118,0,1004.3,Foggy overnight and breezy in the morning.
2006-04-12 04:00:00.000 +0200,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,Overcast,rain,6.622222222,2.616666667,0.93,25.0355,0,6.118,0,1003.68,Foggy overnight and breezy in the morning.
2006-04-12 05:00:00.000 +0200,Ogden,UT,Utah,49057,Weber,Overcast,rain,6.683333333,3.222222222,0.93,19.8352,350,6.1663,0,1003.86,Foggy overnight and breezy in the morning.
2006-04-12 06:00:00.000 +0200,Grand Rapids,MI,Michigan,26081,Kent,Overcast,rain,6.088888889,1.65,0.93,28.0945,349,7.9695,0,1003.57,Foggy overnight and breezy in the morning.
2006-04-12 07:00:00.000 +0200,Albany,NY,New York,36001,Albany,Overcast,rain,6.066666667,1.633333333,0.93,27.9818,348,6.3434,0,1003.96,Foggy overnight and breezy in the morning.
2006-04-12 08:00:00.000 +0200,Bakersfield,CA,California,6029,Kern,Breezy and Mostly Cloudy,rain,6.144444444,1.494444444,0.93,30.8637,349,10.5455,0,1004.1,Foggy overnight and breezy in the morning.
2006-04-12 09:00:00.000 +0200,Mission Viejo,CA,California,6059,Orange,Breezy and Mostly Cloudy,rain,7.133333333,2.688888889,0.8,32.1678,349,11.2056,0,1004.26,Foggy overnight and breezy in the morning.
2006-04-12 10:00:00.000 +0200,New Haven,CT,Connecticut,9009,New Haven,Overcast,rain,7.205555556,3.233333333,0.86,26.5328,339,11.27,0,1004.18,Foggy overnight and breezy in the morning.
2006-04-12 11:00:00.000 +0200,Worcester,MA,Massachusetts,25027,Worcester,Mostly Cloudy,rain,7.566666667,3.544444444,0.84,28.336,339,10.5455,0,1004.23,Foggy overnight and breezy in the morning.
2006-04-12 12:00:00.000 +0200,Provo,UT,Utah,49049,Utah,Mostly Cloudy,rain,8.9,5.161111111,0.77,29.8333,348,11.27,0,1004.47,Foggy overnight and breezy in the morning.
2006-04-12 13:00:00.000 +0200,Akron,OH,Ohio,39153,Summit,Mostly Cloudy,rain,9.961111111,6.644444444,0.71,28.4809,339,11.27,0,1004.52,Foggy overnight and breezy in the morning.
2006-04-12 14:00:00.000 +0200,Palm Bay,FL,Florida,12009,Brevard,Mostly Cloudy,rain,9.888888889,6.55,0.71,28.5131,338,11.0768,0,1004.29,Foggy overnight and breezy in the morning.
2006-04-12 15:00:00.000 +0200,Des Moines,IA,Iowa,19153,Polk,Mostly Cloudy,rain,11.06666667,11.06666667,0.71,25.6956,320,11.27,0,1003.93,Foggy overnight and breezy in the morning.
2006-04-12 16:00:00.000 +0200,Murrieta,CA,California,6065,Riverside,Overcast,rain,10.11666667,10.11666667,0.76,25.3414,311,11.27,0,1004,Foggy overnight and breezy in the morning.
2006-04-12 17:00:00.000 +0200,Mesa,AZ,Arizona,4013,Maricopa,Overcast,rain,11.03888889,11.03888889,0.66,21.413,311,9.982,0,1004.3,Foggy overnight and breezy in the morning.
2006-04-12 18:00:00.000 +0200,Staten Island,NY,New York,36085,Richmond,Overcast,rain,10.65,10.65,0.7,17.8549,310,14.9086,0,1004,Foggy overnight and breezy in the morning.
2006-04-12 19:00:00.000 +0200,Wichita,KS,Kansas,20173,Sedgwick,Overcast,rain,10.05,10.05,0.7,15.1984,328,9.982,0,1004.39,Foggy overnight and breezy in the morning.
2006-04-12 20:00:00.000 +0200,Toledo,OH,Ohio,39095,Lucas,Mostly Cloudy,rain,9.9,7.716666667,0.66,15.7297,348,11.0285,0,1005.48,Foggy overnight and breezy in the morning.
2006-04-12 21:00:00.000 +0200,Harrisburg,PA,Pennsylvania,42043,Dauphin,Overcast,rain,8.794444444,6.816666667,0.71,12.3648,20,9.982,0,1005.89,Foggy overnight and breezy in the morning.
2006-04-12 22:00:00.000 +0200,Port St. Lucie,FL,Florida,12111,St. Lucie,Mostly Cloudy,rain,7.827777778,5.405555556,0.72,13.8943,28,15.8263,0,1006.37,Foggy overnight and breezy in the morning.
2006-04-12 23:00:00.000 +0200,Long Beach,CA,California,6037,Los Angeles,Overcast,rain,7.855555556,6.122222222,0.72,9.8049,11,15.0052,0,1006.56,Foggy overnight and breezy in the morning.
2006-04-13 00:00:00.000 +0200,Reno,NV,Nevada,32031,Washoe,Mostly Cloudy,rain,7.316666667,6.211111111,0.75,6.6654,326,15.8746,0,1007.07,Overcast throughout the day.
2006-04-13 01:00:00.000 +0200,Madison,WI,Wisconsin,55025,Dane,Overcast,rain,7.244444444,6.005555556,0.75,7.1162,309,15.8746,0,1007.37,Overcast throughout the day.
2006-04-13 02:00:00.000 +0200,Little Rock,AR,Arkansas,5119,Pulaski,Partly Cloudy,rain,5.438888889,5.438888889,0.88,3.7191,193,9.982,0,1012.23,Overcast throughout the day.
2006-04-13 03:00:00.000 +0200,Greenville,SC,South Carolina,45045,Greenville,Overcast,rain,7.2,4.55,0.76,14.4739,273,15.8263,0,1007.28,Overcast throughout the day.
2006-04-13 04:00:00.000 +0200,Denton,TX,Texas,48121,Denton,Overcast,rain,6.688888889,3.161111111,0.7,20.5275,300,15.8263,0,1007.18,Overcast throughout the day.
2006-04-13 05:00:00.000 +0200,Spokane,WA,Washington,53063,Spokane,Overcast,rain,6.211111111,2.694444444,0.73,19.3039,309,14.9569,0,1007.39,Overcast throughout the day.
2006-04-13 06:00:00.000 +0200,Oakland,CA,California,6001,Alameda,Overcast,rain,6.111111111,2.8,0.76,17.4363,300,9.982,0,1007.67,Overcast throughout the day.
2006-04-13 07:00:00.000 +0200,Lancaster,PA,Pennsylvania,42071,Lancaster,Overcast,rain,6.111111111,2.438888889,0.76,20.4148,300,9.982,0,1007.98,Overcast throughout the day.
2006-04-13 08:00:00.000 +0200,Poughkeepsie,NY,New York,36027,Dutchess,Overcast,rain,6.172222222,2.922222222,0.76,17.0499,307,9.982,0,1008.57,Overcast throughout the day.
2006-04-13 09:00:00.000 +0200,Boise,ID,Idaho,16001,Ada,Overcast,rain,7.222222222,3.833333333,0.71,20.5114,319,9.982,0,1008.87,Overcast throughout the day.
2006-04-13 10:00:00.000 +0200,Winston-Salem,NC,North Carolina,37067,Forsyth,Overcast,rain,7.288888889,4.244444444,0.73,17.6456,328,9.982,0,1009.44,Overcast throughout the day.
2006-04-13 11:00:00.000 +0200,Syracuse,NY,New York,36067,Onondaga,Overcast,rain,7.405555556,4.816666667,0.72,14.4095,318,9.982,0,1010.03,Overcast throughout the day.
2006-04-13 12:00:00.000 +0200,Augusta,GA,Georgia,13245,Richmond,Overcast,rain,7.961111111,6.072222222,0.7,10.7548,321,10.0464,0,1010.22,Overcast throughout the day.
2006-04-13 13:00:00.000 +0200,Stockton,CA,California,6077,San Joaquin,Overcast,rain,8.033333333,7.583333333,0.7,4.8622,349,10.0464,0,1010.39,Overcast throughout the day.
2006-04-13 14:00:00.000 +0200,Palm Coast,FL,Florida,12035,Flagler,Overcast,rain,9.077777778,9.077777778,0.65,2.3828,348,10.0303,0,1010.24,Overcast throughout the day.
2006-04-13 15:00:00.000 +0200,Chattanooga,TN,Tennessee,47065,Hamilton,Overcast,rain,9.05,9.05,0.62,0.322,243,9.982,0,1010,Overcast throughout the day.
2006-04-13 16:00:00.000 +0200,Kissimmee,FL,Florida,12097,Osceola,Overcast,rain,9.05,9.05,0.65,3.2522,177,11.2056,0,1009.98,Overcast throughout the day.
2006-04-13 17:00:00.000 +0200,Durham,NC,North Carolina,37063,Durham,Overcast,rain,9.183333333,9.183333333,0.65,3.0107,170,11.0285,0,1010.05,Overcast throughout the day.
2006-04-13 18:00:00.000 +0200,Arlington,TX,Texas,48439,Tarrant,Overcast,rain,9.072222222,7.455555556,0.7,10.465,172,9.982,0,1010.1,Overcast throughout the day.
2006-04-13 19:00:00.000 +0200,Victorville,CA,California,6071,San Bernardino,Overcast,rain,7.983333333,6.811111111,0.75,7.3416,172,9.982,0,1010.39,Overcast throughout the day.
2006-04-13 20:00:00.000 +0200,Aurora,CO,Colorado,8005,Arapahoe,Overcast,rain,8.072222222,6.433333333,0.75,9.5151,150,9.982,0,1010.91,Overcast throughout the day.
2006-04-13 21:00:00.000 +0200,Modesto,CA,California,6099,Stanislaus,Overcast,rain,7.894444444,6.127777778,0.82,9.9981,142,9.982,0,1011.32,Overcast throughout the day.
2006-04-13 22:00:00.000 +0200,Lancaster,CA,California,6037,Los Angeles,Overcast,rain,7.311111111,4.805555556,0.83,13.685,141,11.9784,0,1011.61,Overcast throughout the day.
2006-04-13 23:00:00.000 +0200,Fayetteville,AR,Arkansas,5143,Washington,Mostly Cloudy,rain,7.338888889,5.183333333,0.84,11.5437,141,14.168,0,1011.97,Overcast throughout the day.
2006-04-14 00:00:00.000 +0200,Scranton,PA,Pennsylvania,42069,Lackawanna,Mostly Cloudy,rain,6.622222222,4.111111111,0.85,12.719,142,14.9086,0,1012.22,Mostly cloudy throughout the day.
2006-04-14 01:00:00.000 +0200,Oxnard,CA,California,6111,Ventura,Partly Cloudy,rain,6.066666667,3.411111111,0.88,12.8961,130,14.9086,0,1012.74,Mostly cloudy throughout the day.
2006-04-14 02:00:00.000 +0200,Youngstown,OH,Ohio,39099,Mahoning,Partly Cloudy,rain,8.338888889,8.338888889,0.88,0.6923,359,15.0052,0,1015.35,Mostly cloudy throughout the day.
2006-04-14 03:00:00.000 +0200,Indio,CA,California,6065,Riverside,Mostly Cloudy,rain,5.183333333,4.111111111,0.91,5.5384,166,9.982,0,1013.29,Mostly cloudy throughout the day.
2006-04-14 04:00:00.000 +0200,Pensacola,FL,Florida,12033,Escambia,Mostly Cloudy,rain,3.722222222,2.566666667,0.94,5.2003,145,9.982,0,1013.39,Mostly cloudy throughout the day.
2006-04-14 05:00:00.000 +0200,Anaheim,CA,California,6059,Orange,Mostly Cloudy,rain,4.855555556,3.705555556,0.93,5.6189,170,5.9248,0,1013.45,Mostly cloudy throughout the day.
2006-04-14 06:00:00.000 +0200,Bonita Springs,FL,Florida,12071,Lee,Foggy,rain,5.211111111,5.211111111,0.92,4.7656,178,1.2236,0,1013.4,Mostly cloudy throughout the day.
2006-04-14 07:00:00.000 +0200,Greensboro,NC,North Carolina,37081,Guilford,Overcast,rain,6.255555556,4.638888889,0.92,7.9212,223,7.2128,0,1013.81,Mostly cloudy throughout the day.
2006-04-14 08:00:00.000 +0200,Huntsville,AL,Alabama,1089,Madison,Mostly Cloudy,rain,7.794444444,6.055555556,0.87,9.7566,240,10.6743,0,1014.7,Mostly cloudy throughout the day.
2006-04-14 09:00:00.000 +0200,Corpus Christi,TX,Texas,48355,Nueces,Mostly Cloudy,rain,10.05,10.05,0.76,9.6922,231,11.2056,0,1014.67,Mostly cloudy throughout the day.
2006-04-14 10:00:00.000 +0200,Fort Wayne,IN,Indiana,18003,Allen,Mostly Cloudy,rain,12.2,12.2,0.66,14.49,230,9.982,0,1014.66,Mostly cloudy throughout the day.
2006-04-14 11:00:00.000 +0200,Fayetteville,NC,North Carolina,37051,Cumberland,Mostly Cloudy,rain,12.7,12.7,0.63,20.3343,214,11.0285,0,1014.8,Mostly cloudy throughout the day.
2006-04-14 12:00:00.000 +0200,Ann Arbor,MI,Michigan,26161,Washtenaw,Partly Cloudy,rain,13.93333333,13.93333333,0.58,23.5865,222,11.27,0,1014.47,Mostly cloudy throughout the day.
2006-04-14 13:00:00.000 +0200,Jackson,MS,Mississippi,28049,Hinds,Partly Cloudy,rain,15.09444444,15.09444444,0.59,22.2985,241,11.27,0,1014.16,Mostly cloudy throughout the day.
2006-04-14 14:00:00.000 +0200,Antioch,CA,California,6013,Contra Costa,Mostly Cloudy,rain,15.15,15.15,0.5,14.7154,235,11.4471,0,1014.07,Mostly cloudy throughout the day.
2006-04-14 15:00:00.000 +0200,Mobile,AL,Alabama,1097,Mobile,Partly Cloudy,rain,16.17777778,16.17777778,0.44,14.49,238,11.27,0,1013.34,Mostly cloudy throughout the day.
2006-04-14 16:00:00.000 +0200,Lexington,KY,Kentucky,21067,Fayette,Partly Cloudy,rain,16.25,16.25,0.55,14.7154,211,11.27,0,1012.72,Mostly cloudy throughout the day.
2006-04-14 17:00:00.000 +0200,Asheville,NC,North Carolina,37021,Buncombe,Partly Cloudy,rain,16.29444444,16.29444444,0.5,19.5937,221,11.4471,0,1012.38,Mostly cloudy throughout the day.
2006-04-14 18:00:00.000 +0200,Trenton,NJ,New Jersey,34021,Mercer,Partly Cloudy,rain,16.1,16.1,0.56,14.8281,215,11.1251,0,1012.38,Mostly cloudy throughout the day.
